主历,礼仪,星期,节日（玫瑰月）
14,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1101401"">圣加利斯督(教宗殉道 St. Callistus)</a>
</li>
<li>
                                                                                    常年期第二十八周(星期四)                                                                                </li>
</ul>"
15,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1101501"">圣女大德肋撒(童贞 加尔默罗修会改革者 St. Teresa of Avila)</a>
</li>
<li>
                                                                                    常年期第二十八周(星期五)                                                                                </li>
</ul>"
16,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1101601"">圣妇赫德维(St. Hedwig)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1101602"">圣女玛加利大(童贞 St. Margaret Mary)</a>
</li>
<li>
                                                                                    常年期第二十八周(星期六)                                                                                </li>
</ul>"
17,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第二十九主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1101701"">圣依纳爵•安提约基亚(主教殉道 St. Ignatius of Antioch)</a>
</li>
</ul>"
18,红,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1101801"">圣史路加(St. Luke)</a>
</li>
<li>
                                                                                    常年期第二十九周(星期一)                                                                                </li>
</ul>"
19,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1101901"">圣伯多禄•亚刚大辣(St. Peter of Alcantara)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1101902"">北美洲殉道烈士(The Martyrs of North America)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1101903"">圣十字保禄(苦难会会祖 St. Paul of the Cross 1694-1775)</a>
</li>
<li>
                                                                                    常年期第二十九周(星期二)                                                                                </li>
</ul>"
20,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1102001"">圣女贝蒂拉(童贞 St. Bertilla Boscardin)</a>
</li>
<li>
                                                                                    常年期第二十九周(星期三)                                                                                </li>
</ul>"
21,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1102101"">圣依拉良(St. Hilarion)</a>
</li>
<li>
                                                                                    常年期第二十九周(星期四)                                                                                </li>
</ul>"
22,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1102201"">圣若望·保禄二世(教宗 St. John Paul II)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1102202"">真福弟茂德•奇嘉多(Bd. Timothy Giocarde 1896-1948)</a>
</li>
<li>
                                                                                    常年期第二十九周(星期五)                                                                                </li>
</ul>"
23,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1102301"">圣若望•贾必昌(St. John of Capistrano)</a>
</li>
<li>
                                                                                    常年期第二十九周(星期六)                                                                                </li>
</ul>"
24,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=13"">普世传教节</a>
</li>
<li>
                                                                                    常年期第三十主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1102401"">圣安多尼•加烈(古巴总主教圣母无玷圣心传教会创办人 St. Antony Claret)</a>
</li>
</ul>"
25,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1102501"">圣克利斯品、圣克利斯毕(殉道 Ss. Crispin and Crispinian)</a>
</li>
<li>
                                                                                    常年期第三十周(星期一)                                                                                </li>
</ul>"
26,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1102601"">圣厄瓦理斯多(教宗殉道 St. Evaristus)</a>
</li>
<li>
                                                                                    常年期第三十周(星期二)                                                                                </li>
</ul>"
27,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1102701"">圣福门舒(亚克松主教 St. Frumentius 330-380)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1102702"">真福费列尼(Bd. Contardo Ferrini)</a>
</li>
<li>
                                                                                    常年期第三十周(星期三)                                                                                </li>
</ul>"
28,红,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1102801"">圣西满、圣达陡(宗徒 Ss. Simon and Jude)</a>
</li>
<li>
                                                                                    常年期第三十周(星期四)                                                                                </li>
</ul>"
29,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1102901"">圣南西苏(耶路撒冷主教 St. Narcissus of Jerusalem -215)</a>
</li>
<li>
                                                                                    常年期第三十周(星期五)                                                                                </li>
</ul>"
30,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1103001"">圣玛塞洛(殉道 St. Marcellus the Cenlurion)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1103002"">真福安日洛(Bd. Angeto of Acri)</a>
</li>
<li>
                                                                                    常年期第三十周(星期六)                                                                                </li>
</ul>"
31,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第三十一主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1103101"">圣亚方沙•罗德利(St. Alphonsus Rodriguez)</a>
</li>
</ul>"
