主历,礼仪,星期,节日
15,白,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081501"">圣母升天节(The Assumption of the Blessed Virgin Mary)</a>
</li>
<li>
                                                                                    常年期第二十主日                                                                                </li>
</ul>"
16,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081601"">圣斯德望国王(St. Stephen of Hungary)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081602"">圣洛克(St. Rock)</a>
</li>
<li>
                                                                                    常年期第二十周(星期一)                                                                                </li>
</ul>"
17,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081701"">圣雅钦多(St. Hyachinth)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081702"">真福若翰纳•德拉诺(圣亚纳创办人 Bd. Joan Delanoue)</a>
</li>
<li>
                                                                                    常年期第二十周(星期二)                                                                                </li>
</ul>"
18,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081801"">圣妇海伦(St. Helen -330)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081802"">圣亚尔比(St. Alipius)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081803"">真福白亚蒂斯(童贞圣母无原罪始胎会创办人 Bd. Beatrice da Silva)</a>
</li>
<li>
                                                                                    常年期第二十周(星期三)                                                                                </li>
</ul>"
19,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081901"">圣若望•欧德(耶稣圣母会及仁爱圣母会创办人 St. John Eudes)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081902"">圣路易•安日(都鲁士主教 St. Louis of Anjou)</a>
</li>
<li>
                                                                                    常年期第二十周(星期四)                                                                                </li>
</ul>"
20,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1082001"">圣伯尔纳铎(格来福院长圣师 St. Bernard)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1082002"">真福玛利亚•德玛帝亚(童贞宝血会创办人 Bd. Mary of Mattias)</a>
</li>
<li>
                                                                                    常年期第二十周(星期五)                                                                                </li>
</ul>"
21,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1082101"">圣比约十世(教宗 St. Pius X)</a>
</li>
<li>
                                                                                    常年期第二十周(星期六)                                                                                </li>
</ul>"
22,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第二十一主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1082201"">圣母元后(The Queenship of the Blessed Virgin Mary)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1082202"">真福奥撒南(圣云先会创办人 Bd. Ozanet</a>
</li>
</ul>"
23,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1082301"">圣女罗撒(童贞 St. Rose of Lima)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1082302"">圣斐理伯•贝尼谛(St. Philip Benizi)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1082303"">圣高洛巨及其同班(Ss. Claudius, Asterius, Neon, Domnina and Theonilla)</a>
</li>
<li>
                                                                                    常年期第二十一周(星期一)                                                                                </li>
</ul>"
24,红,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1082401"">圣巴尔多禄茂(宗徒 St. Bartholomew)</a>
</li>
<li>
                                                                                    常年期第二十一周(星期二)                                                                                </li>
</ul>"
25,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1082501"">圣路易(St. Louis of France)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1082502"">圣加拉桑(公学司铎修会创办人 St. Joseph Calasanz)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1082503"">圣女玛利亚•弥额拉•谭马西(童贞圣体孝女会创办人 St. Mary Michaela Desmanisieres 1809-1865)</a>
</li>
<li>
                                                                                    常年期第二十一周(星期三)                                                                                </li>
</ul>"
26,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1082601"">圣女依撒伯尔•皮希亚(童贞十字女修会副创办人 St. Elizabeth Bichier des Ages)</a>
</li>
<li>
                                                                                    常年期第二十一周(星期四)                                                                                </li>
</ul>"
27,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1082701"">圣妇莫尼加(St. Monica)</a>
</li>
<li>
                                                                                    常年期第二十一周(星期五)                                                                                </li>
</ul>"
28,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1082801"">圣奥斯定(希波主教圣师 St. Augustinei of Hippo)</a>
</li>
<li>
                                                                                    常年期第二十一周(星期六)                                                                                </li>
</ul>"
29,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第二十二主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1082901"">圣若翰洗者蒙难(The Beheading of St. John the Baptist)</a>
</li>
</ul>"
30,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1083001"">圣斐理、圣亚祷多(殉道 Ss. Felix and Adauctus)</a>
</li>
<li>
                                                                                    常年期第二十二周(星期一)                                                                                </li>
</ul>"
31,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1083101"">圣赖孟多•农纳都(枢机 St. Raymund Nonnatus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1083102"">真福儒万纳•安西诺(沙吕查主教 Bd. Juvenal Ancina)</a>
</li>
<li>
                                                                                    常年期第二十二周(星期二)                                                                                </li>
</ul>"
